"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.562434380E-1,-2.512463741E-2,2.506481707E-1,9.867402077E0,9.870616976E0
2.587398440E-1,-2.512463741E-2,2.937189937E-1,9.900901794E0,9.905289417E0
2.612361980E-1,-5.383851007E-2,2.841476798E-1,9.924830437E0,9.929043141E0
2.637325520E-1,-4.426721856E-2,2.554338276E-1,9.881759644E0,9.885159568E0
2.662289590E-1,-5.982056726E-3,2.841476798E-1,9.886545181E0,9.890629470E0
2.687253650E-1,-5.982056726E-3,2.889333367E-1,9.920044899E0,9.924253577E0
2.712217190E-1,-6.340979785E-2,2.697907388E-1,9.963115692E0,9.966969556E0
2.737153650E-1,-2.991028316E-2,2.602194548E-1,9.982257843E0,9.985693788E0
2.761972920E-1,-4.426721856E-2,2.506481707E-1,9.991828918E0,9.995070246E0
2.786792190E-1,-2.512463741E-2,2.602194548E-1,9.991828918E0,9.995248399E0
2.811728650E-1,-4.426721856E-2,2.267199457E-1,9.953543663E0,9.956223831E0
2.836665110E-1,-1.555334684E-2,2.697907388E-1,9.987043381E0,9.990698896E0
2.861601560E-1,-1.555334684E-2,2.315055877E-1,9.987043381E0,9.989738347E0
2.886538540E-1,-6.819544733E-2,2.985046208E-1,9.948758125E0,9.953468936E0
2.911475000E-1,-5.982056726E-3,2.506481707E-1,9.939187050E0,9.942348792E0
2.936419270E-1,-2.033899166E-2,2.458625287E-1,9.963115692E0,9.966169593E0
2.961384900E-1,-3.948157281E-2,2.650051117E-1,9.982257843E0,9.985852900E0
2.986350000E-1,-4.905286431E-2,2.315055877E-1,9.967901230E0,9.970709902E0
3.011294270E-1,-4.905286431E-2,2.745763958E-1,9.915258408E0,9.919180796E0
3.036238540E-1,-2.033899166E-2,2.745763958E-1,9.900901794E0,9.904729285E0
3.061182810E-1,-2.512463741E-2,2.602194548E-1,9.967901230E0,9.971328915E0
3.086127610E-1,-3.948157281E-2,2.410768867E-1,9.982257843E0,9.985246542E0
3.111071880E-1,8.374879137E-3,2.650051117E-1,9.881759644E0,9.885315954E0
3.136016670E-1,1.316052489E-2,2.506481707E-1,9.910472870E0,9.913650700E0
3.160963020E-1,-3.469592705E-2,2.889333367E-1,1.003011417E1,1.003433489E1
3.185909380E-1,-7.776673883E-2,2.171486616E-1,1.000139999E1,1.000405933E1
3.210854170E-1,-2.991028316E-2,2.697907388E-1,9.838688850E0,9.842432624E0
3.235798440E-1,-1.555334684E-2,2.554338276E-1,9.824331284E0,9.827663686E0
3.260743230E-1,-4.426721856E-2,2.506481707E-1,9.910472870E0,9.913740797E0
3.285688540E-1,-2.512463741E-2,2.602194548E-1,9.948758125E0,9.952192404E0
3.310633340E-1,-5.982056726E-3,2.697907388E-1,9.948758125E0,9.952417348E0
3.335548960E-1,-4.426721856E-2,2.506481707E-1,9.943972588E0,9.947229510E0
3.360389590E-1,-1.076770201E-2,2.410768867E-1,9.924830437E0,9.927763757E0
3.385229690E-1,-5.383851007E-2,2.793620527E-1,9.905687332E0,9.909772110E0
3.410145310E-1,-2.033899166E-2,2.650051117E-1,9.953543663E0,9.957091585E0
3.435060420E-1,-5.982056726E-3,2.602194548E-1,1.000139999E1,1.000478644E1
3.459976040E-1,-3.948157281E-2,2.937189937E-1,9.972686768E0,9.977089305E0
3.484891670E-1,-1.196411322E-3,2.650051117E-1,9.934401512E0,9.937935527E0
3.509807290E-1,-1.196411322E-3,2.697907388E-1,9.915258408E0,9.918928257E0
3.534732810E-1,-5.862415582E-2,2.745763958E-1,9.886545181E0,9.890531058E0
3.559684900E-1,-1.555334684E-2,2.889333367E-1,9.963115692E0,9.967316523E0
3.584636460E-1,-4.905286431E-2,2.267199457E-1,9.987043381E0,9.989736914E0
3.609561980E-1,-8.255238086E-2,3.032902777E-1,9.905687332E0,9.910673106E0
3.634486980E-1,-2.512463741E-2,2.841476798E-1,9.920044899E0,9.924145401E0
3.659412500E-1,-2.991028316E-2,3.080759048E-1,9.982257843E0,9.987055474E0
3.684338540E-1,-5.383851007E-2,2.745763958E-1,9.910472870E0,9.914421985E0
3.709264060E-1,-1.076770201E-2,2.793620527E-1,9.900901794E0,9.904848078E0
3.734216670E-1,-2.033899166E-2,2.793620527E-1,9.972686768E0,9.976619578E0
3.759237500E-1,-9.690931439E-2,2.458625287E-1,1.000618649E1,1.000967571E1
3.784258340E-1,-2.033899166E-2,2.937189937E-1,9.953543663E0,9.957897166E0
3.809210940E-1,-5.383851007E-2,2.841476798E-1,9.915258408E0,9.919475177E0
3.834163020E-1,-7.776673883E-2,2.506481707E-1,9.953543663E0,9.957002743E0
3.859115630E-1,-4.905286431E-2,2.506481707E-1,9.934401512E0,9.937684041E0
3.884068230E-1,-3.948157281E-2,2.362912297E-1,9.943972588E0,9.946857954E0
3.909020310E-1,-5.383851007E-2,2.554338276E-1,9.987043381E0,9.990454470E0
3.933958340E-1,-7.298108935E-2,2.123630047E-1,9.963115692E0,9.965645919E0
3.958859380E-1,-7.298108935E-2,2.841476798E-1,9.910472870E0,9.914814101E0
3.983759900E-1,-6.340979785E-2,2.458625287E-1,9.915258408E0,9.918508884E0
4.008697920E-1,-3.469592705E-2,2.650051117E-1,9.963115692E0,9.966699846E0
4.033635940E-1,-2.512463741E-2,2.506481707E-1,9.958329201E0,9.961514755E0
4.058573440E-1,-7.776673883E-2,2.937189937E-1,9.972686768E0,9.977314262E0
4.083511460E-1,-4.426721856E-2,2.554338276E-1,9.915258408E0,9.918646849E0
4.108449480E-1,-1.555334684E-2,2.410768867E-1,9.915258408E0,9.918200908E0
4.133392710E-1,-1.555334684E-2,2.315055877E-1,9.943972588E0,9.946679223E0
4.158434900E-1,-7.298108935E-2,2.362912297E-1,9.939187050E0,9.942263273E0
4.183476560E-1,-7.776673883E-2,2.745763958E-1,9.924830437E0,9.928932423E0
4.208419790E-1,-5.383851007E-2,2.554338276E-1,9.967901230E0,9.971318867E0
4.233363020E-1,-2.033899166E-2,2.171486616E-1,9.939187050E0,9.941579675E0
4.258306250E-1,-2.991028316E-2,2.602194548E-1,9.900901794E0,9.904365963E0
4.283249480E-1,-5.862415582E-2,2.697907388E-1,9.900901794E0,9.904750384E0
4.308192710E-1,-5.383851007E-2,3.032902777E-1,9.900901794E0,9.905692299E0
4.333134380E-1,-3.948157281E-2,2.554338276E-1,9.934401512E0,9.937763261E0
4.358042710E-1,-3.469592705E-2,2.410768867E-1,9.948758125E0,9.951739049E0
4.382951040E-1,-5.383851007E-2,2.267199457E-1,9.924830437E0,9.927565649E0
4.407892710E-1,-7.298108935E-2,2.458625287E-1,9.943972588E0,9.947279299E0
4.432833860E-1,-7.298108935E-2,2.841476798E-1,9.972686768E0,9.977000928E0
4.457775000E-1,-4.426721856E-2,2.506481707E-1,9.939187050E0,9.942445539E0
4.482716670E-1,-5.862415582E-2,2.697907388E-1,9.939187050E0,9.943020821E0
4.507658340E-1,-3.948157281E-2,2.650051117E-1,9.920044899E0,9.923662494E0
4.532599480E-1,-5.383851007E-2,2.745763958E-1,9.924830437E0,9.928773841E0
